date,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-11-17,41,22,41,14,0.7,45,51
2014-11-18,76,55,93,28,1.7,69,16
2014-11-19,268,218,285,44,3.3,123,6
2014-11-20,342,292,360,29,3.7,136,8
2014-11-21,237,187,239,21,2.8,111,27
2014-11-22,52,31,54,14,0.8,55,37
2014-11-23,155,118,166,22,2.4,91,9
2014-11-24,100,75,112,16,1.8,72,35
2014-11-25,180,136,178,28,2.5,94,15
2014-11-26,282,232,288,38,3.6,120,6
2014-11-27,97,73,108,12,1.2,57,41
2014-11-28,105,79,147,22,1.6,72,26
2014-11-29,267,217,297,19,3.4,92,6
2014-11-30,146,89,241,9,1.3,40,55
2014-12-01,53,10,57,6,0.5,18,53
2014-12-02,21,12,21,10,0.7,34,38
2014-12-03,57,8,63,6,0.3,14,58
2014-12-04,30,7,29,6,0.3,17,60
2014-12-05,45,25,45,16,0.8,40,49
2014-12-06,79,58,91,33,1.8,69,30
2014-12-07,68,49,77,27,1.5,48,50
2014-12-08,76,55,80,30,1.3,60,37
2014-12-09,267,217,280,65,4.8,108,9
2014-12-10,168,127,216,28,2.5,61,59
2014-12-11,38,20,38,15,0.6,32,56
2014-12-12,41,11,41,8,0.4,22,51
2014-12-13,65,42,80,24,1.1,49,33
2014-12-14,108,82,123,43,2.1,75,25
2014-12-15,86,64,117,27,1.5,44,58
2014-12-16,30,7,30,6,0.3,14,54
2014-12-17,90,67,111,33,1.6,63,52
2014-12-18,190,143,194,79,3.9,93,9
2014-12-19,52,31,54,14,1,33,61
2014-12-20,24,9,17,10,0.5,24,47
2014-12-21,36,15,36,13,0.6,30,48
2014-12-22,93,69,114,39,2.1,74,28
2014-12-23,98,73,110,49,2.4,77,22
2014-12-24,31,12,31,17,0.5,32,57
2014-12-25,43,27,43,22,1,53,53
2014-12-26,150,115,155,58,3,92,15
2014-12-27,240,190,236,70,4.1,125,9
2014-12-28,158,121,186,51,2.8,91,45
2014-12-29,126,96,165,41,2.8,83,42
2014-12-30,55,24,61,22,1,51,41
2014-12-31,46,6,46,7,0.3,12,57
2015-01-01,58,41,67,24,1.1,50,44
2015-01-02,69,51,80,31,1.3,60,38
2015-01-03,197,148,193,67,3.2,101,14
2015-01-04,224,174,225,75,3.7,120,22
2015-01-05,139,107,156,57,2.9,70,67
2015-01-06,51,34,51,22,0.8,40,65
2015-01-07,84,62,89,38,1.8,64,27
2015-01-08,163,124,151,49,3,92,11
2015-01-09,98,73,93,32,1.6,61,55
2015-01-10,195,147,174,55,2.8,94,32
2015-01-11,53,37,55,18,0.9,47,44
2015-01-12,153,117,146,43,2.2,72,25
2015-01-13,206,156,183,54,2.8,92,14
2015-01-14,264,214,251,54,3.1,100,6
2015-01-15,378,328,375,34,4.7,111,6
2015-01-16,146,112,120,9,1.6,42,63
2015-01-17,81,60,71,30,1.2,57,51
2015-01-18,92,68,110,30,1.5,52,69
2015-01-19,62,43,74,25,1.3,59,64
2015-01-20,111,84,108,44,2,74,23
2015-01-21,31,19,23,16,0.6,32,62
2015-01-22,128,98,121,39,2,80,26
2015-01-23,256,206,233,61,3.6,121,13
2015-01-24,126,96,145,33,2,70,26
2015-01-25,178,134,100,16,1.7,61,25
2015-01-26,134,102,106,11,1.7,43,59
2015-01-27,28,17,28,14,0.6,29,56
2015-01-28,52,37,47,21,1,49,41
2015-01-29,85,63,77,22,1.2,41,61
2015-01-30,32,12,21,12,0.5,26,63
2015-01-31,42,30,42,19,0.8,43,49
2015-02-01,102,77,98,41,1.9,67,27
2015-02-02,185,139,156,57,2.5,87,15
2015-02-03,153,117,79,29,1.9,61,69
2015-02-04,36,10,32,9,0.4,20,71
2015-02-05,39,27,35,16,0.7,42,70
2015-02-06,88,65,78,30,1.8,72,45
2015-02-07,37,13,26,10,0.4,22,73
2015-02-08,36,24,32,17,0.6,30,71
2015-02-09,142,109,127,48,1.9,79,40
2015-02-10,161,123,138,47,2.4,94,50
2015-02-11,58,41,56,23,1,44,76
2015-02-12,45,32,42,16,0.8,44,75
2015-02-13,158,121,131,34,2.1,83,49
2015-02-14,286,236,239,55,3.2,109,62
2015-02-15,334,284,308,78,4.4,113,37
2015-02-16,159,121,156,31,2.3,54,69
2015-02-17,41,22,41,10,0.5,28,77
2015-02-18,64,46,57,18,0.7,31,80
2015-02-19,268,218,248,55,1.5,42,60
2015-02-20,183,138,29,9,1.4,38,53
2015-02-21,202,152,172,9,1.6,32,69
2015-02-22,163,42,277,4,0.4,14,73
2015-02-23,82,55,114,21,0.8,34,67
2015-02-24,203,153,213,34,2.1,59,55
2015-02-25,103,77,110,10,1.1,32,80
2015-02-26,39,13,26,6,0.4,18,77
2015-02-27,37,23,37,13,0.7,30,58
2015-02-28,162,123,126,8,1.3,40,33
2015-03-01,70,45,90,12,0.9,39,76
2015-03-02,73,53,82,17,1.4,44,74
2015-03-03,48,8,48,2,0.3,10,76
2015-03-04,41,24,41,12,0.6,31,73
2015-03-05,144,110,129,47,1.6,59,65
2015-03-06,245,195,217,59,2.1,82,57
2015-03-07,281,231,246,41,2.4,83,92
2015-03-08,169,129,148,22,1.4,53,79
2015-03-09,40,7,28,3,0.3,14,79
2015-03-10,45,30,45,13,0.8,39,78
2015-03-11,52,37,52,13,1,46,75
2015-03-12,83,61,79,21,1.2,60,60
2015-03-13,86,64,82,21,1.3,60,80
2015-03-14,127,97,119,40,1.9,83,42
2015-03-15,135,103,198,26,1.7,73,93
2015-03-16,257,207,295,33,2,85,67
2015-03-17,233,183,222,16,1.7,57,102
2015-03-18,69,47,89,12,0.8,50,82
2015-03-19,127,81,203,11,1.1,69,72
2015-03-20,124,44,199,6,0.5,46,98
2015-03-21,77,19,103,4,0.3,28,87
2015-03-22,77,20,104,4,0.3,21,87
2015-03-23,67,34,84,7,0.7,43,89
2015-03-24,102,77,122,29,1.8,68,88
2015-03-25,161,123,158,41,1.8,79,107
2015-03-26,138,105,155,21,1,56,138
2015-03-27,138,83,115,18,0.8,55,128
2015-03-28,163,64,277,8,0.5,33,109
2015-03-29,166,75,282,17,1.1,67,111
2015-03-30,197,148,338,29,1.4,63,129
2015-03-31,202,152,191,21,2.3,54,107
2015-04-01,80,59,78,5,0.7,49,79
2015-04-02,50,35,19,4,0.7,26,88
2015-04-03,62,28,40,4,0.6,27,114
2015-04-04,84,62,75,5,0.6,36,134
2015-04-05,74,53,99,3,0.5,30,104
2015-04-06,38,20,32,2,0.3,14,76
2015-04-07,45,23,39,4,0.3,23,89
2015-04-08,126,96,123,12,0.8,49,99
2015-04-09,212,162,190,17,1.2,59,120
2015-04-10,200,150,186,9,1.1,62,126
2015-04-11,188,141,77,16,1.7,46,130
2015-04-12,44,12,26,2,0.3,12,87
2015-04-13,67,26,39,3,0.4,22,120
2015-04-14,74,54,84,5,0.7,54,114
2015-04-15,168,109,286,14,0.9,70,101
2015-04-16,91,26,132,3,0.2,13,95
2015-04-17,112,67,173,16,0.7,55,100
2015-04-18,182,138,273,27,1.5,89,99
2015-04-19,91,60,133,6,0.6,30,100
2015-04-20,90,67,112,7,0.8,43,127
2015-04-21,90,63,129,8,0.6,44,111
2015-04-22,84,43,100,8,0.6,49,141
2015-04-23,79,54,108,11,0.6,49,115
2015-04-24,103,52,155,7,0.6,47,139
2015-04-25,115,72,158,12,0.8,64,177
2015-04-26,161,98,182,20,1,53,226
2015-04-27,114,81,134,12,0.9,46,175
2015-04-28,78,43,68,5,0.7,39,134
2015-04-29,150,115,136,11,1.3,48,196
2015-04-30,149,114,146,11,1.1,43,209
2015-05-01,165,125,141,13,1.1,45,171
2015-05-02,88,45,68,3,0.6,30,145
2015-05-03,72,40,94,2,0.4,24,113
2015-05-04,66,23,65,4,0.3,20,119
2015-05-05,72,43,94,7,0.5,37,114
2015-05-06,60,19,70,3,0.3,24,100
2015-05-07,89,42,129,6,0.6,37,119
2015-05-08,83,52,115,11,1,37,119
2015-05-09,55,39,52,7,1,33,100
2015-05-10,49,34,35,4,1.3,46,46
2015-05-11,42,24,20,2,0.8,30,84
2015-05-12,54,19,44,2,0.5,41,105
2015-05-13,98,57,133,4,0.8,66,158
2015-05-14,57,20,62,5,0.3,29,108
2015-05-15,67,23,47,3,0.4,26,120
2015-05-16,116,46,96,8,0.7,43,178
2015-05-17,166,126,182,15,1.2,43,165
2015-05-18,75,55,93,3,0.5,33,105
2015-05-19,49,11,49,2,0.3,16,93
2015-05-20,63,16,37,2,0.3,22,116
2015-05-21,91,33,84,6,0.5,43,149
2015-05-22,137,52,89,12,0.8,41,201
2015-05-23,179,95,139,16,1,53,244
2015-05-24,178,115,164,16,1.2,56,243
2015-05-25,203,101,166,24,1.2,47,281
2015-05-26,191,87,149,19,0.9,38,256
2015-05-27,160,92,141,11,0.9,33,225
2015-05-28,151,116,151,23,1.2,36,197
2015-05-29,104,61,94,5,0.8,42,164
2015-05-30,136,54,90,6,0.8,39,200
2015-05-31,153,55,102,15,0.9,44,218
2015-06-01,159,88,166,14,1,46,224
2015-06-02,103,30,63,4,0.5,26,163
2015-06-03,75,32,101,6,0.5,36,128
2015-06-04,70,51,90,7,3.4,55,96
2015-06-05,68,49,52,5,6.8,45,65
2015-06-06,79,25,62,3,5,32,135
2015-06-07,43,14,32,4,2.6,30,86
2015-06-08,69,18,35,4,0.5,35,123
2015-06-09,134,49,87,15,1.1,49,197
2015-06-10,100,75,74,4,1.1,34,154
2015-06-11,48,20,25,3,0.6,21,96
2015-06-12,44,8,22,3,0.4,22,87
2015-06-13,65,11,27,3,0.4,18,118
2015-06-14,98,19,37,3,0.5,29,158
2015-06-15,166,85,121,15,1.2,40,231
2015-06-16,177,104,144,12,1.2,50,242
2015-06-17,126,42,67,3,0.8,36,189
2015-06-18,53,19,32,2,0.5,28,103
2015-06-19,35,14,33,2,0.5,24,70
2015-06-20,103,23,39,2,0.6,37,163
2015-06-21,137,41,73,5,0.6,39,201
2015-06-22,163,90,117,16,1.1,38,228
2015-06-23,231,181,178,15,1.7,39,238
2015-06-24,159,121,123,9,1.1,43,190
2015-06-25,164,125,111,6,1,51,128
2015-06-26,139,106,23,2,0.9,24,200
2015-06-27,120,89,51,4,0.8,32,182
2015-06-28,197,148,57,8,1.2,34,219
2015-06-29,154,118,39,5,1.1,42,178
2015-06-30,52,15,20,2,0.4,27,102
2015-07-01,41,18,38,3,0.4,34,82
2015-07-02,46,8,20,4,0.3,28,92
2015-07-03,116,24,60,11,0.9,34,178
2015-07-04,92,33,59,6,0.7,45,150
2015-07-05,160,62,71,9,1,36,225
2015-07-06,156,69,76,10,1.1,33,221
2015-07-07,160,67,86,7,0.9,32,225
2015-07-08,175,125,132,8,1.1,35,240
2015-07-09,172,72,92,11,0.8,37,237
2015-07-10,145,50,82,9,0.7,32,210
2015-07-11,181,103,126,10,1.1,35,246
2015-07-12,200,108,158,5,0.9,46,267
2015-07-13,176,49,84,3,0.6,43,241
2015-07-14,147,35,65,4,0.6,30,212
2015-07-15,85,34,62,3,0.6,47,142
2015-07-16,54,37,47,2,0.7,29,105
2015-07-17,50,35,43,2,0.8,32,91
2015-07-18,78,47,30,2,0.8,26,134
2015-07-19,89,66,33,2,0.9,32,124
2015-07-20,118,89,144,2,0.9,33,142
2015-07-21,176,133,0,2,1.1,33,151
2015-07-22,110,62,55,2,0.7,35,171
2015-07-23,70,41,54,2,0.8,48,123
2015-07-24,138,50,77,2,0.9,46,201
2015-07-25,158,90,108,3,1,38,223
2015-07-26,151,104,123,4,1,33,216
2015-07-27,130,75,133,3,0.9,33,192
2015-07-28,109,52,76,2,0.8,30,169
2015-07-29,138,86,55,2,0.9,35,201
2015-07-30,75,44,52,2,0.9,28,129
2015-07-31,85,26,41,2,0.7,26,142
2015-08-01,90,67,72,3,1.3,47,100
2015-08-02,102,74,88,2,1.2,27,162
